title,studio,year,genre_ids,id,original_language,original_title,popularity,release_date,vote_average,vote_count,movie_id,primary_title,start_year,runtime_minutes,genres
Easy A,SGem,2010,[35],37735,en,Easy A,14.69,2010-09-17,6.8,4168,tt1282140,Easy A,2010,92.0,"Comedy,Drama,Romance"
Hubble 3D,WB,2010,[99],44992,en,Hubble 3D,6.346,2010-03-19,7.1,54,tt1433813,Hubble,2010,44.0,Documentary
Takers,SGem,2010,"[28, 80, 18, 53]",22907,en,Takers,8.969,2010-08-26,6.2,605,tt1135084,Takers,2010,107.0,"Action,Crime,Thriller"
The American,Focus,2010,"[80, 18, 53]",27579,en,The American,9.042,2010-09-01,5.8,690,tt1440728,The American,2010,105.0,"Crime,Drama,Thriller"
The Last Exorcism,LGF,2010,"[27, 18, 53]",38358,en,The Last Exorcism,9.35,2010-08-27,5.6,519,tt1320244,The Last Exorcism,2010,87.0,"Drama,Horror,Thriller"
The Next Three Days,LGF,2010,"[10749, 18, 53, 80]",43539,en,The Next Three Days,11.147,2010-11-19,7.0,1469,tt1458175,The Next Three Days,2010,133.0,"Action,Crime,Drama"
Skyline,Uni.,2010,"[878, 28]",42684,en,Skyline,8.847,2010-11-12,4.8,833,tt1564585,Skyline,2010,92.0,"Action,Sci-Fi,Thriller"
Hot Tub Time Machine,MGM,2010,"[878, 35, 12]",23048,en,Hot Tub Time Machine,10.15,2010-03-26,6.0,1383,tt1231587,Hot Tub Time Machine,2010,101.0,"Comedy,Sci-Fi"
Devil,Uni.,2010,"[27, 9648, 53]",44040,en,Devil,10.203,2010-09-17,5.9,1516,tt1314655,Devil,2010,80.0,"Horror,Mystery,Thriller"
127 Hours,FoxS,2010,"[12, 18, 53]",44115,en,127 Hours,11.435,2010-11-05,7.0,4469,tt1542344,127 Hours,2010,94.0,"Adventure,Biography,Drama"
Secretariat,BV,2010,[18],39486,en,Secretariat,9.059,2010-10-08,7.0,200,tt1028576,Secretariat,2010,123.0,"Biography,Drama,Family"
The Ghost Writer,Sum.,2010,"[53, 9648]",11439,en,The Ghost Writer,7.829,2010-02-12,6.8,1135,tt1139328,The Ghost Writer,2010,128.0,"Drama,Mystery,Thriller"
Morning Glory,Par.,2010,"[35, 18, 10749]",38357,en,Morning Glory,10.595,2010-11-10,6.3,717,tt1126618,Morning Glory,2010,107.0,"Comedy,Drama,Romance"
Remember Me,Sum.,2010,"[18, 10749]",23169,en,Remember Me,11.453,2010-03-12,7.1,2079,tt1403981,Remember Me,2010,113.0,"Drama,Romance"
Remember Me,Sum.,2010,"[18, 10749]",23169,en,Remember Me,11.453,2010-03-12,7.1,2079,tt4843358,Remember Me,2016,85.0,Comedy
Cop Out,WB,2010,"[28, 35, 80]",23742,en,Cop Out,8.82,2010-02-26,5.4,796,tt1385867,Cop Out,2010,107.0,"Action,Comedy,Crime"
The Crazies,Over.,2010,"[9648, 27, 28]",29427,en,The Crazies,12.246,2010-02-26,6.2,1036,tt0455407,The Crazies,2010,101.0,"Horror,Thriller"
From Paris with Love,LGF,2010,"[28, 80, 53]",26389,en,From Paris with Love,12.862,2010-02-05,6.2,1075,tt1179034,From Paris with Love,2010,92.0,"Action,Crime,Thriller"
Alpha and Omega,LGF,2010,"[16, 10751, 35, 12, 10749]",12819,en,Alpha and Omega,8.108,2010-09-17,5.4,227,tt1213012,Alpha and Omega,2010,90.0,"Adventure,Animation,Comedy"
The Switch,Mira.,2010,"[35, 10749, 18]",41210,en,The Switch,7.745,2010-08-20,6.1,1008,tt0889573,The Switch,2010,101.0,"Comedy,Drama,Romance"
She's Out of My League,Par.,2010,"[35, 10749]",34016,en,She's Out of My League,7.775,2010-03-12,6.1,970,tt0815236,She's Out of My League,2010,104.0,"Comedy,Romance"
How Do You Know,Sony,2010,"[35, 18, 10749]",42888,en,How Do You Know,6.753,2010-12-17,5.1,453,tt1341188,How Do You Know,2010,121.0,"Comedy,Drama,Romance"
Charlie St. Cloud,Uni.,2010,"[18, 10749]",37950,en,Charlie St. Cloud,9.454,2010-05-01,6.9,1398,tt1438254,Charlie St. Cloud,2010,99.0,"Drama,Fantasy,Romance"
Scott Pilgrim vs. the World,Uni.,2010,"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,7.3,3882,tt0446029,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy"
Heartbreaker,IFC,2010,"[10749, 35]",41211,fr,L'arnacoeur,9.241,2010-09-10,6.6,761,tt1465487,Heartbreaker,2010,105.0,"Comedy,Romance"
The Spy Next Door,LGF,2010,"[28, 35, 10751]",23172,en,The Spy Next Door,10.746,2010-01-15,5.7,650,tt1273678,The Spy Next Door,2010,94.0,"Action,Comedy,Family"
Machete,Fox,2010,"[28, 35, 53]",23631,en,Machete,12.557,2010-09-03,6.3,1862,tt0985694,Machete,2010,105.0,"Action,Crime,Thriller"
When in Rome,BV,2010,"[35, 14, 10749]",13477,en,When in Rome,9.926,2010-01-29,5.9,703,tt1185416,When in Rome,2010,91.0,"Comedy,Romance"
Going the Distance,WB (NL),2010,"[35, 18, 10749]",38073,en,Going the Distance,8.281,2010-09-03,6.0,394,tt1322312,Going the Distance,2010,102.0,"Comedy,Romance"
Going the Distance,WB (NL),2010,"[35, 18, 10749]",38073,en,Going the Distance,8.281,2010-09-03,6.0,394,tt5127484,Going the Distance,2015,65.0,Comedy
For Colored Girls,LGF,2010,[18],44944,en,For Colored Girls,2.858,2010-11-05,6.8,33,tt1405500,For Colored Girls,2010,133.0,Drama
Furry Vengeance,Sum.,2010,"[35, 10751]",35169,en,Furry Vengeance,9.45,2010-04-02,4.6,283,tt0492389,Furry Vengeance,2010,92.0,"Comedy,Family"
Faster,CBS,2010,"[80, 18, 28, 53]",41283,en,Faster,14.172,2010-11-23,6.2,895,tt1433108,Faster,2010,98.0,"Action,Crime,Drama"
The Kids Are All Right,Focus,2010,"[35, 18]",39781,en,The Kids Are All Right,8.426,2010-07-09,6.6,854,tt0842926,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance"
You Will Meet a Tall Dark Stranger,SPC,2010,"[35, 18, 10749]",38031,en,You Will Meet a Tall Dark Stranger,6.209,2010-05-23,5.8,431,tt1182350,You Will Meet a Tall Dark Stranger,2010,98.0,"Comedy,Drama,Romance"
Leap Year,Uni.,2010,"[10749, 35]",25195,en,Leap Year,11.821,2010-01-08,6.7,990,tt1216492,Leap Year,2010,100.0,"Comedy,Romance"
Leap Year,Uni.,2010,"[18, 35, 10749]",63555,es,Año bisiesto,2.563,2011-06-24,5.6,30,tt1537401,Leap Year,2010,94.0,"Drama,Romance"
You Again,BV,2010,"[35, 10749]",38303,en,You Again,10.208,2010-09-24,6.2,734,tt1414382,You Again,2010,105.0,"Comedy,Family,Romance"
The Losers,WB,2010,"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,2010-04-23,6.2,844,tt0480255,The Losers,2010,97.0,"Action,Adventure,Crime"
The Losers,WB,2010,"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,2010-04-23,6.2,844,tt3746918,The Losers,2013,112.0,Drama
Ramona and Beezus,Fox,2010,"[35, 10751]",38843,en,Ramona and Beezus,7.442,2010-07-23,6.3,460,tt0493949,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family"
Let Me In,Over.,2010,"[18, 27, 9648]",41402,en,Let Me In,9.716,2010-10-01,6.7,1061,tt1228987,Let Me In,2010,116.0,"Drama,Fantasy,Horror"
Let Me In,Over.,2010,"[18, 27, 9648]",41402,en,Let Me In,9.716,2010-10-01,6.7,1061,tt7122852,Let Me In,2017,74.0,Horror
Let Me In,Over.,2010,[18],430926,en,Let Me In,0.675,2016-06-20,7.0,2,tt1228987,Let Me In,2010,116.0,"Drama,Fantasy,Horror"
Let Me In,Over.,2010,[18],430926,en,Let Me In,0.675,2016-06-20,7.0,2,tt7122852,Let Me In,2017,74.0,Horror
Just Wright,FoxS,2010,"[35, 18, 10749]",38093,en,Just Wright,7.047,2010-05-14,6.2,211,tt1407061,Just Wright,2010,100.0,"Comedy,Romance,Sport"
Our Family Wedding,FoxS,2010,[35],34563,en,Our Family Wedding,5.025,2010-03-12,5.5,57,tt1305583,Our Family Wedding,2010,103.0,"Comedy,Romance"
My Soul to Take,Uni.,2010,"[18, 27, 9648, 53]",43931,en,My Soul to Take,9.808,2010-10-08,5.4,247,tt0872230,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller"
Country Strong,SGem,2010,"[18, 10749, 10402]",45272,en,Country Strong,7.567,2010-12-22,6.3,126,tt1555064,Country Strong,2010,117.0,"Drama,Music"
Another Year,SPC,2010,"[35, 18]",44009,en,Another Year,9.394,2010-12-29,7.0,150,tt1431181,Another Year,2010,129.0,"Comedy,Drama"
Buried,LGF,2010,"[18, 53, 9648]",26388,en,Buried,10.888,2010-09-24,6.6,1487,tt1462758,Buried,2010,95.0,"Drama,Mystery,Thriller"
Buried,LGF,2010,"[18, 53, 9648]",26388,en,Buried,10.888,2010-09-24,6.6,1487,tt3568352,Buried,2014,88.0,Documentary
Buried,LGF,2010,"[18, 53, 9648]",26388,en,Buried,10.888,2010-09-24,6.6,1487,tt4540326,Buried,2011,95.0,Thriller
Repo Men,Uni.,2010,"[28, 878, 53, 80]",31867,en,Repo Men,12.437,2010-03-19,6.2,976,tt1053424,Repo Men,2010,111.0,"Action,Crime,Sci-Fi"
The Nutcracker in 3D,Free,2010,"[10402, 14, 28, 10751]",49852,en,The Nutcracker in 3D,7.566,2010-11-24,5.5,97,tt1041804,The Nutcracker in 3D,2010,110.0,"Action,Family,Fantasy"
Sea Rex 3D: Journey to a Prehistoric World,3D,2010,[99],78394,en,Sea Rex 3D: Journey to a Prehistoric World,2.746,2010-05-14,7.4,12,tt1529567,Sea Rex 3D: Journey to a Prehistoric World,2010,41.0,Documentary
I Hate Luv Storys,UTV,2010,"[35, 18, 10749]",40777,hi,I Hate Luv Storys,3.867,2010-06-30,6.1,51,tt1667838,I Hate Luv Storys,2010,129.0,"Comedy,Drama,Romance"
Extraordinary Measures,CBS,2010,[18],27569,en,Extraordinary Measures,6.3,2010-01-21,6.3,153,tt1244659,Extraordinary Measures,2010,106.0,Drama
Somewhere,Focus,2010,"[35, 18]",39210,en,Somewhere,7.596,2010-12-22,6.1,376,tt1421051,Somewhere,2010,97.0,"Comedy,Drama"
Winter's Bone,RAtt.,2010,[18],39013,en,Winter's Bone,9.824,2010-06-11,6.9,931,tt1399683,Winter's Bone,2010,100.0,"Drama,Mystery"
Made in Dagenham,SPC,2010,"[35, 18, 36]",46138,en,Made in Dagenham,7.275,2010-11-19,6.6,150,tt1371155,Made in Dagenham,2010,113.0,"Biography,Comedy,Drama"
Blue Valentine,Wein.,2010,"[18, 10749]",46705,en,Blue Valentine,8.994,2010-12-29,6.9,1677,tt1120985,Blue Valentine,2010,112.0,"Drama,Romance"
Blue Valentine,Wein.,2010,"[18, 10749]",46705,en,Blue Valentine,8.994,2010-12-29,6.9,1677,tt1120985,Blue Valentine,2010,112.0,"Drama,Romance"
Tamara Drewe,SPC,2010,"[35, 10749]",38961,en,Tamara Drewe,7.364,2010-12-30,5.8,226,tt1486190,Tamara Drewe,2010,107.0,"Comedy,Drama,Romance"
Chloe,SPC,2010,"[18, 53, 9648]",28211,en,Chloe,8.807,2010-03-26,5.9,940,tt8083476,Chloe,2017,6.0,"Documentary,Family"
The Warrior's Way,Rela.,2010,"[12, 14, 28, 37, 53]",46528,en,The Warrior's Way,8.259,2010-12-03,6.1,203,tt1032751,The Warrior's Way,2010,100.0,"Action,Fantasy,Western"
